id,name,category,quantity,unit,price,minThreshold,batchNo,expiryDate,size,color
"ELE-0001","Samsung Smartphone 16","Smartphone",272,"pcs",4929,50,"B-7346","","",""
"ELE-0002","Samsung Cable 74","Cable",414,"pcs",54224,36,"B-1926","","",""
"ELE-0003","Sony Camera 1","Camera",146,"pcs",144762,43,"B-1704","","",""
"ELE-0004","Sony Tablet 35","Tablet",190,"pcs",79575,47,"B-1508","","",""
"ELE-0005","Xiaomi Keyboard 65","Keyboard",344,"pcs",53052,13,"B-1544","","",""
"ELE-0006","Asus Smartphone 30","Smartphone",92,"pcs",47459,46,"B-3863","","",""
"ELE-0007","HP Keyboard 10","Keyboard",73,"pcs",139848,7,"B-8500","","",""
"ELE-0008","Logitech Tablet 54","Tablet",55,"pcs",91868,42,"B-4807","","",""
"ELE-0009","Anker Speaker 36","Speaker",206,"pcs",65719,10,"B-7077","","",""
"ELE-0010","Asus Router 16","Router",146,"pcs",27156,18,"B-8372","","",""
"ELE-0011","Apple Earbuds 27","Earbuds",157,"pcs",126107,38,"B-3301","","",""
"ELE-0012","Xiaomi Monitor 3","Monitor",485,"pcs",93351,47,"B-1076","","",""
"ELE-0013","HP Laptop 8","Laptop",492,"pcs",79209,50,"B-5958","","",""
"ELE-0014","Dell Router 88","Router",210,"pcs",125920,21,"B-6218","","",""
"ELE-0015","HP Earbuds 41","Earbuds",483,"pcs",119749,36,"B-2466","","",""
"ELE-0016","Anker Keyboard 69","Keyboard",156,"pcs",77353,35,"B-9912","","",""
"ELE-0017","Sony Keyboard 16","Keyboard",152,"pcs",7892,34,"B-4177","","",""
"ELE-0018","Xiaomi Power Bank 44","Power Bank",259,"pcs",108180,11,"B-6727","","",""
"ELE-0019","Apple Earbuds 48","Earbuds",83,"pcs",125119,25,"B-2884","","",""
"ELE-0020","Anker Monitor 64","Monitor",97,"pcs",23223,38,"B-4341","","",""
"ELE-0021","Sony Headphones 33","Headphones",250,"pcs",6289,18,"B-6396","","",""
"ELE-0022","TP-Link Camera 3","Camera",211,"pcs",120011,11,"B-4610","","",""
"ELE-0023","Apple Smartwatch 94","Smartwatch",226,"pcs",125339,17,"B-8207","","",""
"ELE-0024","Asus Camera 2","Camera",273,"pcs",128460,45,"B-6571","","",""
"ELE-0025","Dell Earbuds 51","Earbuds",160,"pcs",36073,8,"B-7763","","",""
"ELE-0026","TP-Link Smartphone 55","Smartphone",449,"pcs",81857,10,"B-2934","","",""
"ELE-0027","Dell Monitor 4","Monitor",427,"pcs",148792,22,"B-2850","","",""
"ELE-0028","Samsung Laptop 40","Laptop",113,"pcs",124655,47,"B-8167","","",""
