date,sku,category,price,quantity
2025-01-01,"ELE-0061","Smartphone",2345,15
2025-01-01,"ELE-0085","Cable",143371,2
2025-01-02,"ELE-0016","Keyboard",77353,6
2025-01-04,"ELE-0132","Smartwatch",63413,2
2025-01-04,"ELE-0038","Charger",75476,1
2025-01-05,"ELE-0044","Earbuds",106892,4
2025-01-06,"ELE-0121","Mouse",48061,11
2025-01-08,"ELE-0059","Earbuds",77446,5
2025-01-08,"ELE-0097","Laptop",72606,13
2025-01-11,"ELE-0111","Headphones",93611,8
2025-01-11,"ELE-0079","Speaker",140924,8
2025-01-12,"ELE-0037","Keyboard",34253,5
2025-01-12,"ELE-0071","Keyboard",86708,14
2025-01-12,"ELE-0111","Headphones",93611,6
2025-01-13,"ELE-0036","Smartwatch",46307,1
2025-01-13,"ELE-0102","Power",108393,11
2025-01-15,"ELE-0085","Cable",143371,8
2025-01-15,"ELE-0045","Headphones",2636,7
2025-01-18,"ELE-0083","Cable",104629,9
2025-01-18,"ELE-0118","Tablet",106112,7
2025-01-18,"ELE-0002","Cable",54224,3
2025-01-18,"ELE-0101","Camera",146893,13
2025-01-21,"ELE-0092","Headphones",133850,5
2025-01-22,"ELE-0090","Smartphone",66742,8
2025-01-22,"ELE-0056","Smartphone",146999,1
2025-01-23,"ELE-0134","Mouse",1402,2
2025-01-23,"ELE-0050","Monitor",23494,3
2025-01-23,"ELE-0120","Laptop",26003,11
2025-01-26,"ELE-0091","Camera",13453,1
2025-01-28,"ELE-0150","Headphones",99609,3
2025-01-28,"ELE-0029","Cable",101082,12
2025-01-29,"ELE-0091","Camera",13453,14
2025-02-01,"ELE-0060","Charger",120499,3
2025-02-03,"ELE-0081","Mouse",1692,1
2025-02-05,"ELE-0034","Smartphone",80579,8
2025-02-06,"ELE-0049","Smartphone",13979,5
2025-02-07,"ELE-0009","Speaker",65719,6
2025-02-08,"ELE-0094","Power",16578,6
2025-02-08,"ELE-0083","Cable",104629,7
2025-02-09,"ELE-0023","Smartwatch",125339,3
2025-02-09,"ELE-0121","Mouse",48061,4
2025-02-09,"ELE-0068","Power",119353,11
2025-02-09,"ELE-0018","Power",108180,15
2025-02-10,"ELE-0051","Laptop",80062,1
2025-02-11,"ELE-0043","Tablet",112852,1
2025-02-11,"ELE-0043","Tablet",112852,10
2025-02-13,"ELE-0141","Charger",111693,14
2025-02-13,"ELE-0007","Keyboard",139848,6
2025-02-14,"ELE-0144","Speaker",128408,7
2025-02-15,"ELE-0147","Keyboard",30307,5
2025-02-17,"ELE-0048","Keyboard",111254,11
2025-02-18,"ELE-0125","Monitor",84240,2
2025-02-18,"ELE-0109","Tablet",85353,10
2025-02-18,"ELE-0066","Mouse",32282,9
2025-02-19,"ELE-0039","Router",40497,3
2025-02-19,"ELE-0142","Power",94578,2
2025-02-19,"ELE-0118","Tablet",106112,14
2025-02-19,"ELE-0064","Router",140295,5
2025-02-20,"ELE-0135","Router",119336,4
2025-02-20,"ELE-0121","Mouse",48061,3
2025-02-22,"ELE-0134","Mouse",1402,11
2025-02-22,"ELE-0041","Camera",81822,8
2025-02-23,"ELE-0007","Keyboard",139848,3
2025-02-24,"ELE-0098","Earbuds",539,11
2025-02-24,"ELE-0078","Camera",63124,10
2025-02-24,"ELE-0012","Monitor",93351,14
2025-02-24,"ELE-0127","Smartwatch",57796,6
2025-02-26,"ELE-0031","Smartphone",107149,2
2025-02-26,"ELE-0147","Keyboard",30307,4
2025-02-26,"ELE-0148","Camera",6728,12
2025-02-26,"ELE-0063","Keyboard",66948,13
2025-03-02,"ELE-0057","Mouse",12659,3
2025-03-03,"ELE-0067","Charger",121166,4
2025-03-04,"ELE-0022","Camera",120011,8
2025-03-05,"ELE-0067","Charger",121166,5
2025-03-06,"ELE-0035","Power",144433,14
2025-03-07,"ELE-0089","Cable",68613,14
2025-03-08,"ELE-0139","Tablet",37508,15
2025-03-10,"ELE-0110","Camera",17588,10
2025-03-11,"ELE-0113","Smartphone",125949,1
2025-03-11,"ELE-0121","Mouse",48061,1
2025-03-12,"ELE-0079","Speaker",140924,14
