id,name,category,quantity,unit,price,minThreshold,batchNo,expiryDate,size,color
"FAS-0001","Bata Jacket 9","Jacket",136,"pcs",1536,23,"B-3223","","XL","Black"
"FAS-0002","H&M Jeans 54","Jeans",13,"pcs",6245,49,"B-9775","","L","Black"
"FAS-0003","Nike Belt 73","Belt",479,"pcs",9276,40,"B-5103","","L","Red"
"FAS-0004","H&M Shirt 25","Shirt",240,"pcs",9969,33,"B-8946","","L","Red"
"FAS-0005","Bata Jeans 79","Jeans",282,"pcs",8673,17,"B-7633","","L","White"
"FAS-0006","Gucci Watch 22","Watch",418,"pcs",2720,45,"B-1589","","S","Blue"
"FAS-0007","Nike Skirt 93","Skirt",62,"pcs",7423,47,"B-2013","","L","White"
"FAS-0008","Apex Watch 1","Watch",70,"pcs",2152,23,"B-4082","","L","Blue"
"FAS-0009","Adidas Wallet 64","Wallet",449,"pcs",3069,10,"B-5160","","M","Red"
"FAS-0010","H&M Shirt 18","Shirt",202,"pcs",4268,17,"B-3398","","M","Blue"
"FAS-0011","Nike Jacket 54","Jacket",418,"pcs",4407,43,"B-4087","","XL","Blue"
"FAS-0012","Levis T-Shirt 78","T-Shirt",218,"pcs",5293,17,"B-6955","","L","Blue"
"FAS-0013","Armani Watch 74","Watch",209,"pcs",4984,16,"B-7768","","M","Black"
"FAS-0014","Bata Cap 56","Cap",70,"pcs",1709,12,"B-2836","","M","Black"
"FAS-0015","Armani Wallet 91","Wallet",403,"pcs",6567,22,"B-9391","","L","Black"
"FAS-0016","Adidas T-Shirt 79","T-Shirt",221,"pcs",2182,12,"B-3876","","M","Red"
"FAS-0017","H&M T-Shirt 91","T-Shirt",59,"pcs",4654,39,"B-5260","","S","Red"
"FAS-0018","Adidas Cap 68","Cap",327,"pcs",14305,5,"B-8775","","L","Black"
"FAS-0019","Bata Sunglasses 59","Sunglasses",95,"pcs",2118,27,"B-6559","","L","Red"
"FAS-0020","Apex T-Shirt 87","T-Shirt",460,"pcs",11638,21,"B-3110","","XL","Black"
"FAS-0021","Zara T-Shirt 82","T-Shirt",232,"pcs",5631,40,"B-6960","","M","Red"
