date,sku,category,price,quantity
2025-01-01,"FAS-0110","Hoodie",14861,13
2025-01-02,"FAS-0042","Skirt",419,13
2025-01-03,"FAS-0037","T-Shirt",13230,15
2025-01-03,"FAS-0016","T-Shirt",2182,8
2025-01-04,"FAS-0025","Skirt",13670,9
2025-01-04,"FAS-0069","Shirt",474,8
2025-01-05,"FAS-0047","Dress",11863,12
2025-01-05,"FAS-0139","Socks",12598,6
2025-01-06,"FAS-0146","Shirt",14146,13
2025-01-07,"FAS-0111","Wallet",4751,3
2025-01-09,"FAS-0049","Skirt",8203,1
2025-01-10,"FAS-0134","Skirt",994,15
2025-01-10,"FAS-0003","Belt",9276,8
2025-01-10,"FAS-0052","Dress",4604,10
2025-01-10,"FAS-0133","Jacket",9593,10
2025-01-12,"FAS-0061","Cap",8383,4
2025-01-12,"FAS-0081","Cap",13658,6
2025-01-13,"FAS-0060","Belt",4762,8
2025-01-14,"FAS-0130","Watch",1404,11
2025-01-15,"FAS-0021","T-Shirt",5631,2
2025-01-16,"FAS-0107","Hoodie",2463,15
2025-01-18,"FAS-0009","Wallet",3069,12
2025-01-18,"FAS-0041","Belt",8775,10
2025-01-18,"FAS-0014","Cap",1709,15
2025-01-18,"FAS-0142","Watch",3446,4
2025-01-19,"FAS-0017","T-Shirt",4654,1
2025-01-20,"FAS-0074","Sunglasses",14523,7
2025-01-20,"FAS-0018","Cap",14305,4
2025-01-21,"FAS-0096","Belt",9937,10
2025-01-21,"FAS-0074","Sunglasses",14523,11
2025-01-22,"FAS-0142","Watch",3446,10
2025-01-22,"FAS-0009","Wallet",3069,10
2025-01-23,"FAS-0083","Sunglasses",7501,10
2025-01-23,"FAS-0015","Wallet",6567,9
2025-01-25,"FAS-0039","Sunglasses",14183,10
2025-01-25,"FAS-0105","Dress",12004,1
2025-01-25,"FAS-0141","Skirt",13815,12
2025-01-28,"FAS-0123","Wallet",6627,13
2025-01-29,"FAS-0004","Shirt",9969,4
2025-01-29,"FAS-0126","Skirt",13102,5
2025-01-31,"FAS-0015","Wallet",6567,9
2025-02-01,"FAS-0010","Shirt",4268,14
2025-02-03,"FAS-0067","Belt",10747,5
2025-02-04,"FAS-0083","Sunglasses",7501,4
2025-02-05,"FAS-0139","Socks",12598,7
2025-02-05,"FAS-0144","Wallet",461,9
2025-02-06,"FAS-0014","Cap",1709,14
2025-02-06,"FAS-0092","Sunglasses",1196,8
2025-02-08,"FAS-0011","Jacket",4407,6
2025-02-08,"FAS-0043","Sneakers",5409,2
2025-02-09,"FAS-0056","Dress",14964,5
2025-02-09,"FAS-0088","Scarf",8273,12
2025-02-09,"FAS-0012","T-Shirt",5293,14
2025-02-11,"FAS-0086","Watch",14798,13
2025-02-11,"FAS-0092","Sunglasses",1196,5
2025-02-13,"FAS-0040","Jacket",911,4
2025-02-13,"FAS-0070","Sneakers",2187,8
2025-02-13,"FAS-0147","Cap",13847,1
2025-02-13,"FAS-0005","Jeans",8673,2
2025-02-14,"FAS-0078","Socks",12623,11
2025-02-14,"FAS-0019","Sunglasses",2118,2
2025-02-15,"FAS-0074","Sunglasses",14523,9
2025-02-16,"FAS-0096","Belt",9937,14
2025-02-16,"FAS-0061","Cap",8383,12
2025-02-17,"FAS-0018","Cap",14305,10
2025-02-18,"FAS-0072","Scarf",11302,3
2025-02-19,"FAS-0143","Sneakers",3378,3
2025-02-20,"FAS-0081","Cap",13658,14
2025-02-21,"FAS-0053","Cap",3825,4
2025-02-21,"FAS-0057","Shirt",1765,9
2025-02-21,"FAS-0081","Cap",13658,5
2025-02-21,"FAS-0090","Wallet",12110,1
2025-02-22,"FAS-0131","Shirt",6623,15
2025-02-22,"FAS-0003","Belt",9276,2
2025-02-23,"FAS-0049","Skirt",8203,1
2025-02-24,"FAS-0029","Hoodie",692,13
2025-02-25,"FAS-0045","Belt",12549,13
2025-02-27,"FAS-0091","Watch",4746,15
2025-03-01,"FAS-0039","Sunglasses",14183,5
2025-03-01,"FAS-0092","Sunglasses",1196,13
2025-03-01,"FAS-0033","Belt",10713,8
2025-03-02,"FAS-0139","Socks",12598,13
2025-03-04,"FAS-0072","Scarf",11302,10
2025-03-06,"FAS-0088","Scarf",8273,6
2025-03-07,"FAS-0132","T-Shirt",14579,2
2025-03-08,"FAS-0103","Wallet",11381,3
2025-03-08,"FAS-0148","Sunglasses",10844,7
2025-03-08,"FAS-0042","Skirt",419,4
2025-03-10,"FAS-0117","Skirt",3413,8
2025-03-15,"FAS-0129","Wallet",5590,1
2025-03-20,"FAS-0033","Belt",10713,1
2025-03-21,"FAS-0106","Shirt",7910,5
2025-03-22,"FAS-0079","Jacket",2537,15
2025-03-22,"FAS-0134","Skirt",994,13
2025-03-22,"FAS-0097","Sunglasses",11009,13
2025-03-22,"FAS-0067","Belt",10747,13
