id,name,category,quantity,unit,price,minThreshold,batchNo,expiryDate,size,color
"GRO-0001","Rupchanda Tea 68","Tea",137,"pcs",185,19,"B-2094","2027-06-23","",""
"GRO-0002","Pran Oil 80","Oil",299,"pcs",509,22,"B-6332","2028-07-05","",""
"GRO-0003","Pran Milk 26","Milk",162,"pcs",233,17,"B-3344","2026-12-13","",""
"GRO-0004","Rupchanda Bread 28","Bread",117,"dozen",1097,34,"B-9086","2027-07-08","",""
"GRO-0005","Maggi Rice 82","Rice",492,"kg",994,6,"B-4426","2028-07-19","",""
"GRO-0006","Pran Chili 30","Chili",167,"dozen",1447,6,"B-5352","2027-04-10","",""
"GRO-0007","Bombay Sweets Bread 11","Bread",399,"pcs",1267,14,"B-6900","2026-08-04","",""
"GRO-0008","Bombay Sweets Sugar 71","Sugar",344,"dozen",632,17,"B-1012","2027-03-06","",""
"GRO-0009","Fresh Lentils 52","Lentils",68,"liter",1142,23,"B-8006","2028-01-26","",""
"GRO-0010","Bombay Sweets Sugar 24","Sugar",301,"kg",648,6,"B-2823","2028-08-02","",""
"GRO-0011","Bombay Sweets Biscuits 17","Biscuits",72,"dozen",563,47,"B-8017","2028-06-18","",""
"GRO-0012","Pran Butter 17","Butter",324,"pcs",758,39,"B-2751","2028-12-29","",""
"GRO-0013","Rupchanda Cheese 89","Cheese",395,"pcs",578,19,"B-6292","2026-07-04","",""
"GRO-0014","Pusti Milk 32","Milk",321,"liter",428,44,"B-9693","2028-09-26","",""
"GRO-0015","Rupchanda Oil 64","Oil",263,"kg",247,23,"B-6227","2026-10-27","",""
"GRO-0016","Radhuni Onion 7","Onion",181,"liter",419,18,"B-2954","2026-11-28","",""
"GRO-0017","Aarong Onion 37","Onion",174,"pcs",199,20,"B-2846","2026-12-25","",""
"GRO-0018","Bombay Sweets Butter 44","Butter",115,"dozen",986,14,"B-8283","2027-11-11","",""
"GRO-0019","Pusti Tea 29","Tea",209,"kg",216,27,"B-4543","2027-12-14","",""
"GRO-0020","Pran Ginger 10","Ginger",121,"liter",743,39,"B-1099","2027-02-26","",""
