date,sku,category,price,quantity
2025-01-01,"GRO-0082","Chili",543,8
2025-01-01,"GRO-0097","Garlic",214,11
2025-01-02,"GRO-0065","Garlic",534,7
2025-01-03,"GRO-0010","Sweets",648,12
2025-01-04,"GRO-0030","Cheese",443,8
2025-01-05,"GRO-0094","Chili",1426,6
2025-01-06,"GRO-0092","Butter",952,1
2025-01-08,"GRO-0040","Milk",873,15
2025-01-08,"GRO-0055","Milk",1309,6
2025-01-09,"GRO-0093","Salt",1045,15
2025-01-09,"GRO-0026","Milk",501,9
2025-01-09,"GRO-0053","Milk",128,9
2025-01-09,"GRO-0150","Sugar",62,12
2025-01-10,"GRO-0080","Oil",1173,14
2025-01-10,"GRO-0136","Bread",403,9
2025-01-10,"GRO-0142","Bread",810,6
2025-01-11,"GRO-0082","Chili",543,8
2025-01-12,"GRO-0033","Lentils",165,8
2025-01-14,"GRO-0099","Ginger",904,13
2025-01-15,"GRO-0106","Butter",299,2
2025-01-15,"GRO-0102","Sweets",266,10
2025-01-16,"GRO-0054","Sweets",1285,5
2025-01-17,"GRO-0009","Lentils",1142,13
2025-01-17,"GRO-0076","Butter",365,14
2025-01-17,"GRO-0093","Salt",1045,3
2025-01-18,"GRO-0001","Tea",185,7
2025-01-19,"GRO-0109","Spices",140,8
2025-01-19,"GRO-0120","Sugar",850,4
2025-01-20,"GRO-0132","Onion",1063,15
2025-01-20,"GRO-0021","Butter",334,5
2025-01-21,"GRO-0126","Lentils",917,9
2025-01-22,"GRO-0074","Noodles",992,5
2025-01-22,"GRO-0107","Onion",1280,2
2025-01-23,"GRO-0067","Butter",454,10
2025-01-23,"GRO-0147","Spices",678,13
2025-01-26,"GRO-0072","Salt",1448,7
2025-01-26,"GRO-0022","Lentils",1314,15
2025-01-27,"GRO-0140","Chili",865,6
2025-01-28,"GRO-0077","Cheese",115,13
2025-01-28,"GRO-0112","Oil",350,13
2025-01-29,"GRO-0025","Eggs",1432,6
2025-02-01,"GRO-0103","Milk",596,1
2025-02-01,"GRO-0024","Butter",1404,1
2025-02-02,"GRO-0095","Tea",1214,15
2025-02-03,"GRO-0137","Spices",860,3
2025-02-04,"GRO-0107","Onion",1280,1
2025-02-04,"GRO-0007","Sweets",1267,12
2025-02-05,"GRO-0111","Sweets",708,11
2025-02-06,"GRO-0143","Bread",1178,1
2025-02-06,"GRO-0106","Butter",299,14
2025-02-08,"GRO-0085","Flour",377,7
2025-02-10,"GRO-0120","Sugar",850,9
2025-02-11,"GRO-0146","Sweets",837,5
2025-02-13,"GRO-0129","Biscuits",1329,9
2025-02-13,"GRO-0038","Butter",940,7
2025-02-14,"GRO-0083","Milk",1323,10
2025-02-15,"GRO-0132","Onion",1063,1
2025-02-15,"GRO-0066","Cheese",194,1
2025-02-17,"GRO-0082","Chili",543,6
2025-02-17,"GRO-0068","Garlic",717,6
2025-02-18,"GRO-0060","Sugar",969,11
2025-02-20,"GRO-0078","Eggs",326,3
2025-02-20,"GRO-0129","Biscuits",1329,4
2025-02-24,"GRO-0106","Butter",299,4
2025-02-25,"GRO-0112","Oil",350,11
2025-02-25,"GRO-0074","Noodles",992,9
