id,name,category,quantity,unit,price,minThreshold,batchNo,expiryDate,size,color
"HAR-0001","Bosch Hammer 1","Hammer",287,"kg",2576,8,"B-2485","","",""
"HAR-0002","Bosch Nails 6","Nails",317,"kg",7267,37,"B-2703","","",""
"HAR-0003","Berger Nuts 65","Nuts",433,"pcs",8036,22,"B-9955","","",""
"HAR-0004","BRB Screwdriver 13","Screwdriver",166,"box",6231,14,"B-3757","","",""
"HAR-0005","Makita Bolts 1","Bolts",304,"box",8984,13,"B-3537","","",""
"HAR-0006","Stanley Switch 7","Switch",363,"kg",5357,14,"B-4873","","",""
"HAR-0007","Walton Screwdriver 72","Screwdriver",111,"liter",5209,48,"B-3017","","",""
"HAR-0008","Holcim Glue 97","Glue",272,"kg",6398,6,"B-7627","","",""
"HAR-0009","BSRM Brush 62","Brush",308,"kg",2693,33,"B-5494","","",""
"HAR-0010","BSRM Saw 88","Saw",237,"kg",3759,7,"B-5347","","",""
"HAR-0011","BSRM Sandpaper 71","Sandpaper",249,"liter",9627,28,"B-1279","","",""
"HAR-0012","BRB Nails 92","Nails",215,"pcs",7066,43,"B-3907","","",""
"HAR-0013","BRB Screwdriver 91","Screwdriver",240,"liter",4105,48,"B-5545","","",""
"HAR-0014","BSRM Tape Measure 25","Tape Measure",303,"pcs",6648,43,"B-5950","","",""
"HAR-0015","Berger Saw 28","Saw",353,"pcs",7932,50,"B-8721","","",""
"HAR-0016","Asian Paints Bolts 96","Bolts",57,"liter",8063,17,"B-7758","","",""
"HAR-0017","Berger Nails 59","Nails",93,"box",6435,41,"B-6617","","",""
"HAR-0018","Bosch Saw 64","Saw",199,"liter",3778,15,"B-5263","","",""
"HAR-0019","Asian Paints Wrench 15","Wrench",247,"box",715,27,"B-8342","","",""
"HAR-0020","Walton Switch 40","Switch",235,"kg",5802,39,"B-9167","","",""
"HAR-0021","Holcim Hammer 12","Hammer",205,"box",6769,23,"B-9115","","",""
"HAR-0022","Berger Glue 54","Glue",409,"liter",6087,8,"B-7262","","",""
"HAR-0023","BSRM Nuts 76","Nuts",469,"liter",5358,21,"B-1317","","",""
"HAR-0024","Stanley Hammer 21","Hammer",150,"kg",886,48,"B-9333","","",""
"HAR-0025","BRB Roller 60","Roller",261,"box",5950,25,"B-7077","","",""
"HAR-0026","Asian Paints Nails 60","Nails",381,"kg",5014,28,"B-8722","","",""
"HAR-0027","Shah Cement Sandpaper 50","Sandpaper",100,"pcs",8874,23,"B-6916","","",""
"HAR-0028","Shah Cement Brush 24","Brush",350,"box",7510,44,"B-6283","","",""
"HAR-0029","Berger Nuts 88","Nuts",302,"liter",3605,13,"B-1990","","",""
"HAR-0030","Bosch Saw 7","Saw",76,"box",4251,16,"B-3358","","",""
"HAR-0031","Stanley Saw 35","Saw",340,"box",2668,46,"B-8967","","",""
"HAR-0032","Bosch Wrench 4","Wrench",225,"box",4720,11,"B-3441","","",""
"HAR-0033","Bosch Hammer 75","Hammer",349,"kg",7704,46,"B-8989","","",""
"HAR-0034","BRB Bulb 13","Bulb",388,"box",2206,29,"B-7895","","",""
"HAR-0035","Asian Paints Tape Measure 14","Tape Measure",224,"pcs",4730,27,"B-9451","","",""
"HAR-0036","Stanley Screwdriver 46","Screwdriver",74,"box",3694,28,"B-4312","","",""
"HAR-0037","Walton Saw 82","Saw",271,"pcs",4944,20,"B-9983","","",""
"HAR-0038","Holcim Nails 31","Nails",86,"liter",3625,33,"B-7368","","",""
"HAR-0039","Walton Paint 96","Paint",426,"box",8305,15,"B-2187","","",""
"HAR-0040","Shah Cement Hammer 16","Hammer",262,"pcs",5577,45,"B-6619","","",""
"HAR-0041","BSRM Brush 13","Brush",189,"liter",4996,7,"B-5210","","",""
"HAR-0042","Makita Roller 80","Roller",236,"liter",5669,29,"B-1269","","",""
"HAR-0043","Shah Cement Pliers 52","Pliers",177,"kg",1844,33,"B-8560","","",""
"HAR-0044","Berger Switch 19","Switch",205,"kg",1505,46,"B-8841","","",""
"HAR-0045","Shah Cement Paint 7","Paint",364,"pcs",487,35,"B-9024","","",""
"HAR-0046","BSRM Tape Measure 9","Tape Measure",327,"liter",9552,23,"B-8868","","",""
"HAR-0047","BSRM Bulb 94","Bulb",435,"box",4434,25,"B-8214","","",""
"HAR-0048","Asian Paints Cement 66","Cement",208,"kg",6967,39,"B-3261","","",""
"HAR-0049","Stanley Bolts 78","Bolts",123,"kg",6083,7,"B-1963","","",""
"HAR-0050","Bosch Hammer 90","Hammer",419,"box",3804,27,"B-2530","","",""
"HAR-0051","Asian Paints Nails 39","Nails",308,"box",8514,13,"B-9043","","",""
"HAR-0052","Berger Bulb 71","Bulb",358,"liter",9166,27,"B-8008","","",""
"HAR-0053","Walton Cement 44","Cement",16,"box",6688,21,"B-6849","","",""
"HAR-0054","Holcim Tape Measure 94","Tape Measure",458,"kg",9881,42,"B-4355","","",""
"HAR-0055","Berger Saw 72","Saw",278,"kg",4997,33,"B-1749","","",""
"HAR-0056","Berger Wire 33","Wire",336,"kg",8459,36,"B-9888","","",""
"HAR-0057","Berger Tape Measure 23","Tape Measure",395,"pcs",1960,10,"B-6223","","",""
"HAR-0058","Shah Cement Roller 9","Roller",319,"box",3920,6,"B-5049","","",""
"HAR-0059","BRB Wire 6","Wire",200,"pcs",1834,45,"B-3251","","",""
"HAR-0060","BRB Nails 45","Nails",360,"pcs",3896,40,"B-5730","","",""
"HAR-0061","BRB Bulb 76","Bulb",450,"kg",5605,48,"B-6120","","",""
"HAR-0062","Makita Saw 58","Saw",234,"liter",2990,13,"B-4895","","",""
"HAR-0063","Berger Saw 83","Saw",61,"box",2556,7,"B-7310","","",""
"HAR-0064","Asian Paints Nails 95","Nails",73,"kg",1043,18,"B-7058","","",""
"HAR-0065","Shah Cement Drill 95","Drill",453,"liter",6024,17,"B-7701","","",""
"HAR-0066","Stanley Cement 22","Cement",19,"pcs",3373,41,"B-3603","","",""
"HAR-0067","Berger Screwdriver 64","Screwdriver",177,"pcs",635,32,"B-6981","","",""
"HAR-0068","Berger Screws 61","Screws",379,"box",3736,50,"B-1179","","",""
"HAR-0069","Holcim Screwdriver 96","Screwdriver",310,"liter",5568,49,"B-4656","","",""
"HAR-0070","Berger Drill 70","Drill",449,"box",2317,42,"B-4138","","",""
"HAR-0071","Bosch Cement 93","Cement",470,"pcs",333,45,"B-2279","","",""
"HAR-0072","Shah Cement Hammer 24","Hammer",444,"liter",1386,29,"B-9698","","",""
"HAR-0073","BSRM Screwdriver 23","Screwdriver",447,"kg",2097,47,"B-1788","","",""
"HAR-0074","Shah Cement Cement 82","Cement",429,"box",3765,40,"B-5664","","",""
"HAR-0075","Stanley Wrench 71","Wrench",189,"kg",3224,12,"B-1772","","",""
"HAR-0076","Berger Drill 31","Drill",23,"box",3851,17,"B-7482","","",""
"HAR-0077","Bosch Sandpaper 40","Sandpaper",290,"box",1003,32,"B-3027","","",""
"HAR-0078","Makita Wire 49","Wire",142,"pcs",5318,37,"B-3213","","",""
"HAR-0079","Makita Sandpaper 45","Sandpaper",106,"pcs",6217,19,"B-7099","","",""
"HAR-0080","BRB Pliers 84","Pliers",145,"liter",1459,29,"B-3782","","",""
"HAR-0081","Makita Wire 2","Wire",89,"pcs",2802,50,"B-5333","","",""
"HAR-0082","Bosch Screwdriver 47","Screwdriver",39,"kg",8371,10,"B-1464","","",""
"HAR-0083","Walton Screws 56","Screws",352,"box",5338,40,"B-8232","","",""
"HAR-0084","Shah Cement Roller 60","Roller",160,"pcs",5392,13,"B-6426","","",""
"HAR-0085","Stanley Nails 15","Nails",346,"pcs",9751,14,"B-2030","","",""
"HAR-0086","BSRM Screwdriver 76","Screwdriver",176,"kg",7176,46,"B-3396","","",""
"HAR-0087","Makita Nuts 48","Nuts",257,"pcs",8848,29,"B-4845","","",""
"HAR-0088","Makita Saw 50","Saw",61,"kg",6941,38,"B-3235","","",""
"HAR-0089","Walton Hammer 84","Hammer",485,"liter",864,37,"B-6225","","",""
"HAR-0090","BRB Tape Measure 43","Tape Measure",239,"pcs",1334,37,"B-2637","","",""
"HAR-0091","Stanley Nuts 29","Nuts",395,"liter",480,46,"B-5298","","",""
"HAR-0092","Bosch Bolts 22","Bolts",184,"pcs",3685,44,"B-7427","","",""
"HAR-0093","Asian Paints Bolts 28","Bolts",88,"kg",5339,6,"B-7166","","",""
"HAR-0094","Shah Cement Tape Measure 74","Tape Measure",182,"pcs",3246,23,"B-2056","","",""
"HAR-0095","Holcim Saw 80","Saw",410,"pcs",6980,38,"B-8138","","",""
"HAR-0096","Bosch Glue 85","Glue",94,"pcs",5125,9,"B-5632","","",""
"HAR-0097","Stanley Drill 63","Drill",153,"liter",4770,24,"B-1357","","",""
"HAR-0098","BRB Sandpaper 57","Sandpaper",165,"kg",3141,12,"B-6392","","",""
"HAR-0099","Asian Paints Cement 39","Cement",74,"box",9859,11,"B-6480","","",""
"HAR-0100","Berger Tape Measure 65","Tape Measure",114,"pcs",1664,6,"B-6548","","",""
"HAR-0101","BRB Switch 39","Switch",46,"kg",7363,32,"B-9100","","",""
"HAR-0102","Holcim Sandpaper 12","Sandpaper",486,"pcs",5895,37,"B-7450","","",""
"HAR-0103","BSRM Hammer 32","Hammer",222,"box",9786,49,"B-1612","","",""
"HAR-0104","Walton Sandpaper 91","Sandpaper",86,"kg",2804,48,"B-1030","","",""
"HAR-0105","Makita Switch 66","Switch",167,"pcs",9876,48,"B-6071","","",""
"HAR-0106","BRB Screwdriver 19","Screwdriver",471,"liter",6998,35,"B-2863","","",""
"HAR-0107","Makita Drill 69","Drill",345,"pcs",6865,50,"B-1263","","",""
"HAR-0108","Walton Drill 26","Drill",366,"liter",9081,28,"B-5492","","",""
"HAR-0109","Asian Paints Tape Measure 86","Tape Measure",238,"liter",825,17,"B-6393","","",""
"HAR-0110","Asian Paints Sandpaper 20","Sandpaper",181,"liter",1837,41,"B-1854","","",""
"HAR-0111","Bosch Drill 38","Drill",389,"kg",895,7,"B-2055","","",""
"HAR-0112","Berger Wrench 38","Wrench",209,"kg",4418,36,"B-7625","","",""
"HAR-0113","Asian Paints Wire 15","Wire",160,"liter",9104,24,"B-6062","","",""
"HAR-0114","BSRM Paint 79","Paint",258,"kg",2436,42,"B-1869","","",""
"HAR-0115","Stanley Saw 65","Saw",145,"liter",5088,11,"B-3013","","",""
"HAR-0116","BRB Saw 47","Saw",310,"pcs",2665,50,"B-7675","","",""
"HAR-0117","Shah Cement Nails 46","Nails",107,"liter",3452,42,"B-2865","","",""
"HAR-0118","Makita Nails 97","Nails",375,"box",1829,8,"B-2782","","",""
"HAR-0119","Berger Saw 69","Saw",136,"kg",94,10,"B-4097","","",""
"HAR-0120","Asian Paints Bolts 54","Bolts",120,"liter",7774,44,"B-1499","","",""
"HAR-0121","Asian Paints Glue 12","Glue",258,"liter",8797,29,"B-5097","","",""
"HAR-0122","BRB Drill 86","Drill",444,"box",3173,49,"B-9529","","",""
