date,sku,category,price,quantity
2025-01-02,"HAR-0071","Cement",333,2
2025-01-03,"HAR-0040","Cement",5577,10
2025-01-03,"HAR-0066","Cement",3373,1
2025-01-04,"HAR-0076","Drill",3851,3
2025-01-05,"HAR-0069","Screwdriver",5568,14
2025-01-05,"HAR-0061","Bulb",5605,3
2025-01-06,"HAR-0096","Glue",5125,9
2025-01-09,"HAR-0093","Paints",5339,8
2025-01-10,"HAR-0143","Cement",8377,13
2025-01-10,"HAR-0062","Saw",2990,11
2025-01-10,"HAR-0080","Pliers",1459,6
2025-01-12,"HAR-0064","Paints",1043,5
2025-01-13,"HAR-0118","Nails",1829,11
2025-01-14,"HAR-0027","Cement",8874,9
2025-01-15,"HAR-0104","Sandpaper",2804,8
2025-01-15,"HAR-0042","Roller",5669,4
2025-01-16,"HAR-0055","Saw",4997,9
2025-01-18,"HAR-0043","Cement",1844,7
2025-01-19,"HAR-0130","Wire",7732,15
2025-01-19,"HAR-0076","Drill",3851,1
2025-01-20,"HAR-0038","Nails",3625,8
2025-01-22,"HAR-0028","Cement",7510,7
2025-01-23,"HAR-0122","Drill",3173,3
2025-01-24,"HAR-0042","Roller",5669,5
2025-01-24,"HAR-0122","Drill",3173,7
2025-01-25,"HAR-0115","Saw",5088,11
2025-01-25,"HAR-0006","Switch",5357,15
2025-01-27,"HAR-0051","Paints",8514,13
2025-01-30,"HAR-0071","Cement",333,8
2025-01-31,"HAR-0077","Sandpaper",1003,13
2025-01-31,"HAR-0022","Glue",6087,1
2025-02-01,"HAR-0094","Cement",3246,10
2025-02-01,"HAR-0038","Nails",3625,5
2025-02-02,"HAR-0043","Cement",1844,1
2025-02-02,"HAR-0104","Sandpaper",2804,7
2025-02-03,"HAR-0114","Paint",2436,2
2025-02-03,"HAR-0056","Wire",8459,2
2025-02-04,"HAR-0009","Brush",2693,11
2025-02-04,"HAR-0031","Saw",2668,13
2025-02-04,"HAR-0020","Switch",5802,10
2025-02-05,"HAR-0101","Switch",7363,6
2025-02-05,"HAR-0062","Saw",2990,9
2025-02-06,"HAR-0150","Paints",4952,11
2025-02-06,"HAR-0097","Drill",4770,5
2025-02-07,"HAR-0125","Saw",8146,10
2025-02-08,"HAR-0123","Sandpaper",837,10
2025-02-08,"HAR-0067","Screwdriver",635,9
2025-02-09,"HAR-0028","Cement",7510,1
2025-02-11,"HAR-0069","Screwdriver",5568,1
2025-02-12,"HAR-0146","Brush",5250,11
2025-02-12,"HAR-0063","Saw",2556,3
2025-02-13,"HAR-0065","Cement",6024,3
2025-02-14,"HAR-0125","Saw",8146,13
2025-02-16,"HAR-0028","Cement",7510,3
2025-02-19,"HAR-0034","Bulb",2206,1
2025-02-19,"HAR-0150","Paints",4952,10
2025-02-19,"HAR-0084","Cement",5392,9
2025-02-20,"HAR-0101","Switch",7363,2
2025-02-20,"HAR-0017","Nails",6435,4
2025-02-21,"HAR-0034","Bulb",2206,12
2025-02-22,"HAR-0113","Paints",9104,7
2025-02-23,"HAR-0053","Cement",6688,5
2025-02-25,"HAR-0026","Paints",5014,5
2025-02-25,"HAR-0033","Hammer",7704,6
2025-02-26,"HAR-0034","Bulb",2206,6
2025-02-26,"HAR-0107","Drill",6865,7
2025-02-27,"HAR-0027","Cement",8874,7
2025-02-28,"HAR-0005","Bolts",8984,4
2025-03-01,"HAR-0087","Nuts",8848,9
2025-03-02,"HAR-0105","Switch",9876,11
2025-03-03,"HAR-0053","Cement",6688,10
2025-03-04,"HAR-0055","Saw",4997,1
2025-03-06,"HAR-0097","Drill",4770,14
2025-03-08,"HAR-0118","Nails",1829,13
2025-03-09,"HAR-0075","Wrench",3224,6
2025-03-09,"HAR-0035","Paints",4730,14
2025-03-10,"HAR-0074","Cement",3765,7
2025-03-10,"HAR-0123","Sandpaper",837,12
2025-03-10,"HAR-0042","Roller",5669,7
2025-03-14,"HAR-0132","Tape",1254,12
2025-03-15,"HAR-0099","Paints",9859,7
2025-03-15,"HAR-0079","Sandpaper",6217,1
2025-03-17,"HAR-0091","Nuts",480,2
2025-03-17,"HAR-0023","Nuts",5358,14
2025-03-18,"HAR-0058","Cement",3920,6
2025-03-20,"HAR-0066","Cement",3373,13
2025-03-20,"HAR-0140","Drill",4839,12
2025-03-20,"HAR-0045","Cement",487,14
2025-03-21,"HAR-0137","Saw",7404,3
2025-03-21,"HAR-0143","Cement",8377,3
2025-03-22,"HAR-0103","Hammer",9786,8
2025-03-23,"HAR-0034","Bulb",2206,2
2025-03-23,"HAR-0056","Wire",8459,4
2025-03-24,"HAR-0027","Cement",8874,3
2025-03-25,"HAR-0116","Saw",2665,9
2025-03-25,"HAR-0141","Wire",2521,12
2025-03-25,"HAR-0079","Sandpaper",6217,10
2025-03-26,"HAR-0144","Paint",2127,13
2025-03-27,"HAR-0027","Cement",8874,14
2025-03-27,"HAR-0042","Roller",5669,13
2025-03-30,"HAR-0097","Drill",4770,6
2025-03-31,"HAR-0046","Tape",9552,15
2025-03-31,"HAR-0124","Nails",9865,9
2025-04-02,"HAR-0145","Nuts",4622,4
2025-04-03,"HAR-0149","Sandpaper",4117,12
2025-04-03,"HAR-0026","Paints",5014,3
2025-04-03,"HAR-0097","Drill",4770,13
2025-04-04,"HAR-0094","Cement",3246,2
2025-04-04,"HAR-0082","Screwdriver",8371,3
2025-04-04,"HAR-0020","Switch",5802,13
2025-04-05,"HAR-0054","Tape",9881,13
2025-04-05,"HAR-0137","Saw",7404,12
2025-04-05,"HAR-0072","Cement",1386,1
2025-04-07,"HAR-0011","Sandpaper",9627,5
2025-04-07,"HAR-0067","Screwdriver",635,6
2025-04-07,"HAR-0095","Saw",6980,10
2025-04-08,"HAR-0025","Roller",5950,9
2025-04-12,"HAR-0107","Drill",6865,11
2025-04-13,"HAR-0015","Saw",7932,8
2025-04-16,"HAR-0125","Saw",8146,6
2025-04-17,"HAR-0136","Tape",9790,5
2025-04-18,"HAR-0027","Cement",8874,9
2025-04-20,"HAR-0066","Cement",3373,14
2025-04-21,"HAR-0087","Nuts",8848,3
2025-04-22,"HAR-0147","Paints",9980,12
2025-04-23,"HAR-0117","Cement",3452,12
2025-04-23,"HAR-0101","Switch",7363,15
