date,sku,category,price,quantity
2026-05-01,SKU-1001,Electronics,12000,5
2026-05-01,SKU-2001,Groceries,150,50
2026-05-02,SKU-3001,Apparel,850,12
2026-05-02,SKU-1002,Electronics,25000,2
2026-05-03,SKU-2002,Groceries,220,100
2026-05-03,SKU-3002,Apparel,1200,8
2026-05-04,SKU-4001,Home & Garden,4500,4
2026-05-04,SKU-1001,Electronics,12000,3
2026-05-05,SKU-2001,Groceries,150,60
2026-05-05,SKU-4002,Home & Garden,1200,15
2026-05-06,SKU-3001,Apparel,850,10
2026-05-06,SKU-2002,Groceries,220,120
2026-05-07,SKU-1002,Electronics,25000,1
2026-05-07,SKU-4001,Home & Garden,4500,6
2026-05-08,SKU-2001,Groceries,150,45
2026-05-08,SKU-3002,Apparel,1200,5
2026-05-09,SKU-1001,Electronics,12000,4
2026-05-09,SKU-4002,Home & Garden,1200,20
2026-05-10,SKU-2002,Groceries,220,90
2026-05-10,SKU-3001,Apparel,850,15
